chr1,x1,x2,chr2,y1,y2,color,o,e_bl,e_donut,e_h,e_v,fdr_bl,fdr_donut,fdr_h,fdr_v,num_collapsed,centroid1,centroid2,radius,x,y,x_hg38,y_hg38
X,75350000,75400000,X,115000000,115050000,"0,255,255",91,26.2093,22.2867,30.5085,1.02897753863e-13,9.57580345839e-19,8.386754934339999e-14,4.83068268284e-19,2,75375000,114975000,50000.0,,75375000,115025000,76155165,115908667
X,56800000,56850000,X,69300000,69350000,"0,255,255",90,35.273,33.1402,35.023,1.83642897997e-08,2.24383086823e-08,1.76248611281e-08,2.20697149938e-08,1,56825000,69325000,0.0,,56825000,69325000,56798567,70105150
X,56800000,56850000,X,70350000,70400000,"0,255,255",83,35.1181,31.661,32.3896,3.27475775212e-06,3.37745067762e-06,3.01948582557e-06,3.61787587092e-06,1,56825000,70375000,0.0,,56825000,70375000,56798567,71155150
X,1600000,1650000,X,9950000,10000000,"0,255,255",79,28.8917,27.961,24.597,8.26765260848e-09,1.70240036546e-08,4.54177331396e-09,5.28025524027e-05,1,1625000,9975000,0.0,,1625000,9975000,1506107,10006960
X,56800000,56850000,X,130850000,130900000,"0,255,255",71,7.1097,6.49855,5.57101,1.97976064918e-37,8.79790011824e-37,7.486209153529999e-43,2.99163528702e-30,5,56805000,130885000,63245.5532034,,56825000,130875000,56798567,131740972
X,29550000,29600000,X,46550000,46600000,"0,255,255",67,22.31,18.7918,21.967,2.28581854613e-08,3.6166145483e-11,2.74101659706e-08,1.21071297533e-11,1,29575000,46575000,0.0,,29575000,46575000,29556883,46715565
X,56800000,56850000,X,115000000,115050000,"0,255,255",67,24.8806,14.6082,14.5773,6.70660391335e-05,2.59927095981e-16,7.36210924797e-17,1.21071297533e-11,1,56825000,115025000,0.0,,56825000,115025000,56798567,115908667
X,115000000,115050000,X,153750000,153800000,"0,255,255",65,19.5827,15.0577,14.3112,1.26853821759e-07,3.0209389121499997e-15,8.98425242266e-16,8.00454204791e-11,2,115050000,153775000,25000.0,,115025000,153775000,115908667,154546785
X,47050000,47100000,X,73050000,73100000,"0,255,255",63,22.7955,22.4152,23.7306,7.48664524751e-07,2.12360681476e-06,7.92365156787e-07,1.58364734948e-06,1,47075000,73075000,0.0,,47075000,73075000,47215601,73855165
X,1600000,1650000,X,13700000,13750000,"0,255,255",58,11.9642,14.3697,12.8936,1.10389245001e-16,3.07614964605e-11,6.098965854380001e-12,7.67632029454e-05,2,1625000,13750000,25000.0,,1625000,13725000,1506107,13706881
X,73050000,73100000,X,130850000,130900000,"0,255,255",51,13.0521,10.5773,12.131,1.1586976627e-08,7.55437532311e-11,1.37057427758e-11,5.47196670581e-05,1,73075000,130875000,0.0,,73075000,130875000,73855165,131740972
